AC-DESC,8
AM-BSUP,1
P3MP1.1,2
P3MP101,2
P3MP11A,7
P3MP12A,1
P3MP12B,1
P3MP2.A,4
P3MP2.B,4
P3MP2.C,4
P3MP3.A,7
P3MP3.B,7
P3MP4.A,7
P3MP5.A,7
P3MP5BA,7
P3MP5BB,7
P3MP6.A,7
P3MP6.B,7
P3MP6.F,7
P3MP7.A,7
P3MP7.B,7
P3MP7.E,7
P3MP7.F,7
P3MP7DA,7
P3MP8.0,3
P3RI015,2
P3RI1.1,2
P3RI1.2,2
P3RI101,2
P3RI102,2
P3RI2.A,4
P3RI2.B,4
P3RI2.C,4
P3RI2.D,4
P3RI3.A,7
P3RI3.B,7
P3RI3.C,7
P3RI4BB,7
P3RI5.A,7
P3RI5BB,7
P3RI6.A,7
P3RI6.B,7
P3RI6.C,7
P3RI6.D,7
P3RI6.E,7
P3RI6.F,7
P3RI6.G,7
P3RI6.H,7
P3RI7.A,7
P3RI7.B,7
P3RI7.C,7
P3RI7.D,7
P3RI7.F,7
P3RI8.0,3
P4-2-06,7
P4-2-07,7
P4-2-15,7
P4-2-23,7
P4-2-30,1
P4-2-40,1
P4-2-43,1
P4-2-46,1
P4-2-72,7
P4-2-73,7
P4-3-11,3
RPROV01,8
RPROV02,8
RPROV03,8
RPROV04,8
RPROV05,8
RY2-003,4
RY2-004,4
RY2-006,4
RY2-007,4
RY2-012,3
RY2-013,2
RY2-018,5
RY2-019,5
RY2-021,5
RY2-022,5
RY2-023,5
RY2-025,5
RY2-026,5
RY2-027,5
RY2-028,5
RY2-030,5
RY2-034,5
RY2-042,5
RY2-045,5
RY2-047,6
RY2-049,6
RY2-050,5
RY2-051,5
RY2-059,4
RY2-060,4
RY2-081,4
V-05,5
AM-ALOS,5
P-3,5
P-5,5
R-2,5
R-4,5
R-9,5
RY2-001,4
RY2-002,4
RY2-005,4
RY2-008,4
RY2-009,4
RY2-020,5
RY2-024,5
RY2-031,5
RY2-035,5
RY2-036,5
RY2-038,5
RY2-046,5
RY2-052,4
RY2-053,4
RY2-054,4
RY2-055,4
RY2-064,4
RY2-065,4
RY2-067,4
RY2-068,4
RY2-075,5
RY2-079,4
RY2-080,4
RYMA-03,5
RYMA-04,5
RYMA-05,5
RYMA-12,5
RYMA-13,6
RYMA-17,5
RYMA-20,5
RYMA-26,4
AM-BPRO,1
AM-CNGR,7
APH1-1A,7
NULL,8
P3MP14A,7
P3MP3.C,7
P3MP7.C,7
P3RI13B,7
P3RI7.G,7
P3RI9.A,5
P3RI9.B,5
P4-2-50,2
P4-2-80,1
P4-2-81,1
